"","V1"
"910",7
"913",3
"914",1
"915",5
"916",8
"918",2
"920",6
"921",4
"922",8
"923",1
"924",4
"925",8
"926",5
"928",4
"929",8
"931",1
"933",5
"934",4
"935",8
"936",8
"938",2
"939",8
"941",2
"942",3
"944",2
"945",8
"947",2
"948",3
"950",2
"951",8
"953",2
"954",8
"956",2
"957",8
"959",2
"960",8
"962",2
"963",3
"965",2
"966",3
"968",2
"969",8
"971",2
"972",8
"974",2
"975",3
"977",2
"978",8
"980",2
"981",8
"983",2
"984",8
"986",2
"987",8
"989",2
"990",8
"992",2
"993",8
"995",2
"996",8
"998",2
"999",8
"1001",2
"1002",8
"1004",2
"1005",8
"1007",2
"1008",8
"1010",2
"1011",8
"1013",2
"1014",3
"1016",2
"1017",4
"1019",1
"1021",5
"1022",4
"1023",1
"1024",2
"1025",8
"1026",7
"1027",3
"1028",5
"1029",10
"1030",8
"1031",2
"1032",8
"1033",6
"1034",5
"1036",2
"1040",6
"1041",8
"1042",8
"1044",9
"1045",8
"1046",2
"1047",7
"1048",2
"1049",3
"1050",2
"1051",6
"1052",5
"1053",3
"1054",2
"1055",7
"1056",2
"1057",2
"1058",8
"1059",2
"1060",4
"1062",5
"1063",8
"1065",2
"1066",3
"1067",10
"1068",4
"1069",9
"1070",2
"1071",3
"1072",7
"1073",5
"1074",4
"1075",10
"1076",8
"1077",4
"1078",2
"1080",2
"1081",2
"1082",4
"1083",9
"1084",2
"1085",4
"1086",2
"1087",1
"1089",3
"1090",1
"1091",2
"1092",1
"1093",1
"1094",10
"1095",5
"1096",1
"1097",6
"1098",1
"1099",5
"1100",1
"1102",1
"1104",1
"1105",5
"1106",1
"1107",1
"1108",1
"1110",1
"1111",1
"1112",1
"1113",5
"1114",3
"1116",1
"1117",1
"1118",6
"1119",1
"1120",1
"1121",1
"1122",1
"1123",2
"1124",1
"1125",6
"1126",1
"1127",1
"1128",10
"1129",1
"1130",6
"1131",1
"1132",1
"1133",1
"1134",1
"1135",1
"1136",1
"1137",10
"1138",3
"1139",6
"1140",1
"1141",1
"1142",1
"1143",1
"1144",6
"1145",6
"1146",10
"1147",1
"1148",3
"1149",1
"1150",10
"1152",4
"1153",1
"1154",1
"1155",5
"1156",1
"1157",1
"1158",5
"1159",8
"1160",1
"1161",5
"1162",1
"1163",1
"1164",2
"1165",1
"1166",1
"1167",2
"1168",2
"1169",1
"1170",2
"1171",1
"1172",1
"1173",2
"1174",1
"1175",2
"1176",2
"1177",5
"1178",2
"1179",2
"1180",2
"1181",1
"1182",2
"1183",2
"1184",1
"1185",2
"1186",2
"1187",10
"1188",1
"1189",2
"1190",2
"1191",2
"1192",2
"1193",1
"1194",2
"1195",2
"1196",1
"1197",2
"1198",2
"1199",2
"1200",2
"1201",2
"1202",5
"1203",3
"1204",2
"1205",1
"1206",1
"1207",1
"1208",2
"1209",2
"1210",1
"1211",1
"1212",2
"1213",1
"1214",1
"1215",2
"1216",1
"1217",2
"1218",1
"1219",1
"1220",5
"1221",2
"1222",1
"1223",2
"1224",1
"1225",2
"1226",1
"1227",1
"1228",2
"1229",2
"1230",5
"1231",1
"1232",1
"1233",8
"1234",1
"1235",1
"1236",2
"1237",1
"1238",1
"1240",5
"1241",2
"1242",6
"1243",9
"1244",2
"1245",5
"1246",3
"1247",7
"1249",3
"1251",5
"1252",7
"1254",3
"1256",1
"1257",2
"1258",10
"1259",6
"1260",7
"1261",2
"1262",8
"1263",7
"1264",5
"1266",3
"1267",2
"1268",2
"1269",5
"1270",9
"1271",9
"1272",4
"1273",3
"1274",4
"1277",4
"1278",7
"1279",2
"1280",4
"1281",5
"1282",2
"1283",8
"1284",7
"1285",2
"1286",5
"1288",8
"1290",8
"1291",2
"1292",7
"1293",3
"1295",2
"1296",2
"1297",9
"1298",7
"1300",3
"1302",5
"1303",1
"1304",7
"1305",10
"1306",4
"1307",5
"1308",4
"1309",10
"1310",8
"1312",1
"1313",10
"1314",8
"1316",8
"1317",10
"1318",3
"1319",10
"1320",8
"1321",7
"1322",10
"1323",8
"1324",5
"1325",10
"1326",2
"1327",3
"1329",10
"1330",7
"1332",8
"1333",2
"1335",2
"1336",3
"1337",10
"1339",10
"1340",2
"1341",4
"1342",6
"1343",2
"1344",8
"1345",7
"1346",6
"1347",3
"1348",8
"1349",2
"1350",7
"1351",3
"1352",10
"1353",3
"1354",10
"1355",3
"1356",3
"1357",3
"1358",10
"1359",10
"1360",9
"1361",5
"1362",10
"1363",5
"1364",4
"1365",6
"1366",4
"1367",10
"1369",9
"1370",3
"1371",8
"1372",8
"1373",8
"1375",8
"1376",8
"1377",10
"1378",7
"1379",8
"1382",1
"1383",2
"1384",3
"1385",3
"1386",9
"1388",4
"1389",3
"1391",7
"1392",4
"1393",5
"1394",5
"1395",5
"1397",5
"1398",5
"1399",7
"1400",7
"1401",4
"1402",9
"1403",7
"1404",4
"1406",10
"1407",8
"1408",5
"1409",3
"1410",7
"1411",6
"1412",5
"1413",2
"1414",4
"1415",6
"1416",4
"1417",10
"1418",2
"1419",5
"1420",5
"1422",7
"1423",3
"1424",5
"1425",3
"1426",5
"1427",2
"1429",3
"1430",4
"1431",10
"1433",1
"1434",7
"1435",7
"1436",4
"1437",4
"1438",5
"1439",10
"1440",6
"1442",10
"1443",7
"1444",2
"1445",3
"1446",9
"1447",8
"1448",2
"1449",6
"1450",3
"1451",5
"1452",9
"1453",6
"1454",3
"1455",2
"1456",2
"1457",5
"1458",3
"1460",5
"1461",7
"1463",5
"1464",6
"1465",6
"1466",3
"1468",8
"1469",5
"1470",5
"1472",6
"1473",3
"1474",7
"1475",8
"1476",8
"1477",3
"1479",8
"1480",3
"1482",8
"1483",3
"1485",8
"1486",3
"1488",8
"1489",3
"1491",8
"1492",3
"1494",10
"1495",3
"1497",10
"1498",3
"1500",8
"1501",3
"1503",8
"1504",3
"1506",10
"1507",3
"1509",10
"1510",3
"1512",8
"1513",3
"1515",8
"1516",3
"1518",8
"1519",3
"1521",8
"1522",3
"1524",8
"1525",3
"1527",8
"1528",3
"1530",8
"1531",3
"1533",8
"1534",3
"1536",10
"1537",3
"1539",8
"1540",3
"1542",8
"1543",3
"1545",8
"1546",3
"1548",7
"1549",7
"1550",8
"1551",7
"1553",2
"1554",10
"1555",1
"1556",5
"1557",7
"1558",3
"1559",2
"1560",8
"1561",2
"1562",10
"1563",3
"1564",10
"1565",8
"1566",2
"1567",10
"1569",2
"1570",10
"1571",1
"1572",4
"1573",3
"1575",6
"1576",3
"1577",2
"1578",7
"1579",2
"1580",7
"1581",9
"1582",9
"1583",3
"1584",5
"1585",7
"1586",3
"1587",7
"1588",10
"1590",9
"1591",3
"1592",3
"1594",10
"1596",3
"1597",7
"1598",9
"1599",9
"1601",7
"1602",10
"1603",6
"1605",8
"1606",1
"1607",3
"1608",5
"1609",8
"1610",8
"1611",4
"1612",10
"1613",5
"1617",4
"1618",6
"1620",8
"1621",2
"1622",9
"1623",1
"1624",2
"1625",2
"1626",2
"1627",2
"1628",1
"1629",1
"1630",1
"1631",1
"1632",3
"1633",4
"1634",1
"1635",1
"1636",1
"1638",4
"1640",1
"1641",9
"1642",7
"1643",1
"1644",1
"1645",1
"1646",1
"1647",1
"1648",3
"1649",1
"1650",1
"1651",1
"1652",8
"1653",1
"1654",6
"1655",10
"1656",3
"1657",1
"1659",1
"1660",1
"1661",1
"1662",1
"1663",1
"1665",1
"1666",2
"1667",1
"1669",1
"1670",1
"1671",1
"1672",1
"1673",3
"1674",1
"1675",6
"1676",6
"1677",5
"1678",1
"1679",8
"1680",4
"1681",3
"1682",6
"1683",1
"1684",8
"1685",10
"1686",4
"1687",8
"1688",3
"1689",4
"1690",8
"1691",9
"1692",8
"1693",8
"1694",8
"1695",4
"1696",4
"1697",4
"1698",8
"1699",5
"1700",7
"1701",4
"1702",2
"1703",10
"1704",1
"1705",4
"1706",2
"1707",4
"1708",3
"1709",7
"1711",2
"1712",4
"1713",3
"1715",10
"1716",4
"1717",2
"1718",7
"1719",1
"1720",2
"1721",8
"1722",4
"1723",3
"1724",9
"1725",3
"1726",7
"1727",3
"1728",4
"1729",1
"1730",8
"1732",2
"1733",8
"1734",4
"1735",6
"1738",8
"1739",7
"1740",1
"1742",4
"1743",2
"1744",2
"1745",4
"1746",8
"1747",6
"1748",2
"1749",5
"1751",4
"1752",8
"1753",3
"1754",10
"1756",10
"1757",5
"1758",4
"1759",8
"1761",4
"1762",8
"1763",2
"1764",9
"1765",1
"1766",2
"1767",6
"1768",2
"1769",3
"1770",7
"1771",6
"1772",3
"1773",2
"1774",6
"1775",3
"1776",6
"1778",1
"1779",2
"1780",3
"1781",10
"1782",7
"1783",6
"1784",2
"1785",2
"1786",7
"1787",1
"1788",7
"1789",10
"1790",3
"1791",2
"1792",7
"1793",2
"1794",9
"1795",2
"1796",7
"1797",2
"1798",9
"1799",7
"1801",2
"1802",6
"1803",2
"1805",3
"1806",2
"1807",3
"1809",3
"1810",10
"1811",7
"1812",3
"1813",2
"1814",9
"1815",2
"1816",3
"1817",7
"1818",3
"1819",3
"1820",7
"1821",3
"1822",2
"1823",7
"1824",2
"1825",2
"1826",7
"1827",2
"1828",3
"1829",6
"1830",2
"1831",3
"1832",9
"1833",4
"1834",1
"1835",8
"1836",5
"1837",9
"1838",3
"1839",2
"1840",1
"1841",2
"1842",5
"1843",2
"1844",6
"1845",2
"1846",6
"1847",2
"1848",6
"1849",8
"1850",4
"1851",2
"1852",10
"1853",2
"1854",2
"1855",6
"1856",2
"1857",5
"1858",6
"1859",6
"1860",3
"1861",2
"1862",3
"1863",2
"1864",3
"1865",6
"1866",6
"1867",2
"1868",3
"1869",2
"1870",5
"1871",3
"1872",6
"1873",4
"1874",8
"1875",5
"1876",2
"1877",9
"1878",4
"1879",6
"1880",2
"1881",2
"1882",2
"1883",4
"1884",6
"1885",2
"1886",6
"1887",3
"1888",2
"1889",2
"1890",5
"1891",9
"1892",4
"1893",2
"1894",2
"1895",2
"1896",6
"1897",2
"1898",3
"1899",10
"1900",2
"1901",4
"1902",2
"1903",8
"1904",8
"1905",5
"1906",2
"1907",2
"1908",3
"1909",2
"1910",2
"1911",8
"1912",5
"1913",8
"1914",9
"1915",4
"1917",7
"1918",3
"1920",5
"1921",8
"1922",5
"1923",4
"1924",7
"1925",6
"1926",8
"1927",5
"1928",5
"1930",10
"1931",5
"1934",6
"1935",9
"1936",4
"1937",4
"1938",6
"1939",7
"1940",8
"1941",4
"1942",7
"1943",10
"1945",5
"1946",7
"1947",6
"1948",2
"1949",7
"1950",4
"1951",8
"1952",2
"1953",9
"1954",9
"1955",4
"1956",9
"1957",7
"1960",10
"1961",7
"1963",2
"1964",4
"1965",3
"1966",6
"1967",8
"1968",6
"1969",2
"1970",1
"1971",9
"1972",6
"1973",4
"1976",2
"1978",6
"1979",10
"1982",5
"1983",2
"1984",3
"1985",1
"1986",2
"1987",5
"1989",1
"1990",10
"1991",5
"1992",2
"1993",2
"1994",9
"1995",6
"1996",9
"1997",2
"1998",8
"1999",7
"2000",9
"2001",2
"2002",6
"2003",7
"2004",2
"2005",4
"2007",7
"2008",7
"2009",10
"2010",6
"2011",5
"2012",2
"2013",6
"2014",9
"2015",3
"2016",4
"2017",1
"2018",9
"2019",2
"2020",10
"2021",9
"2022",9
"2023",6
"2024",5
"2025",5
"2026",8
"2027",9
"2028",2
"2029",3
"2030",6
"2031",5
"2032",9
"2033",8
"2034",1
"2035",3
"2036",3
"2037",2
"2038",2
"2039",9
"2040",6
"2041",5
"2042",3
"2043",2
"2044",5
"2045",1
"2046",9
"2047",5
"2049",1
"2050",3
"2051",8
"2052",2
"2053",3
"2054",6
"2055",7
"2056",3
"2058",2
"2059",5
"2060",3
"2061",1
"2062",2
"2063",2
"2064",5
"2065",3
"2067",5
"2068",3
"2070",5
"2071",3
"2073",5
"2074",3
"2076",5
"2077",3
"2079",5
"2080",3
"2082",5
"2083",3
"2085",5
"2086",3
"2088",5
"2089",3
"2091",5
"2092",3
"2094",5
"2095",3
"2097",5
"2098",3
"2100",5
"2101",3
"2103",5
"2104",3
"2106",5
"2107",3
"2109",5
"2110",3
"2112",5
"2113",3
"2114",1
"2115",5
"2116",3
"2118",5
"2119",3
"2121",5
"2122",3
"2124",5
"2125",3
"2127",5
"2128",3
"2130",5
"2131",3
"2133",2
"2134",3
"2136",4
"2137",7
"2138",8
"2139",7
"2141",1
"2142",8
"2143",4
"2146",4
"2149",6
"2150",4
"2151",4
"2153",3
"2155",1
"2157",3
"2158",6
"2159",10
"2160",8
"2161",7
"2163",4
"2165",4
"2166",4
"2167",10
"2169",3
"2170",10
"2171",2
"2172",10
"2173",8
"2175",3
"2176",4
"2177",1
"2178",6
"2181",4
"2182",5
"2183",4
"2184",1
"2185",7
"2186",10
"2187",4
"2188",6
"2192",5
"2193",3
"2195",7
"2196",10
"2197",1
"2198",6
"2200",7
"2201",7
"2202",10
"2203",4
"2204",7
"2205",6
"2206",3
"2207",10
"2208",8
"2209",10
"2210",4
"2211",3
"2212",4
"2213",7
"2216",4
"2217",10
"2219",2
"2221",2
"2222",4
"2223",3
"2224",4
"2225",3
"2226",1
"2228",6
"2229",4
"2230",3
"2231",8
"2232",10
"2233",8
"2235",10
"2236",4
"2237",1
"2238",4
"2241",3
"2242",2
"2243",10
"2244",3
"2245",9
"2246",3
"2247",2
"2248",10
"2249",7
"2250",4
"2251",3
"2252",1
"2253",3
"2255",4
"2256",10
"2257",5
"2258",3
"2260",7
"2261",9
"2262",1
"2264",8
"2265",8
"2266",6
"2269",2
"2270",3
"2271",7
"2273",3
"2275",3
"2276",3
"2277",7
"2279",2
"2280",3
"2281",8
"2282",7
"2283",3
"2285",6
"2287",7
"2288",2
"2289",2
"2291",10
"2292",7
"2293",4
"2294",3
"2295",7
"2296",9
"2297",6
"2298",10
"2299",4
"2300",6
"2301",7
"2302",7
"2303",5
"2304",9
"2305",5
"2306",4
"2308",4
"2311",6
"2312",8
"2313",5
"2314",10
"2315",6
"2316",9
"2317",1
"2318",9
"2319",9
"2320",6
"2321",4
"2322",3
"2323",9
"2324",9
"2325",4
"2326",9
"2327",8
"2330",7
"2331",9
"2332",4
"2333",4
"2334",5
"2335",5
"2336",5
"2337",9
"2338",10
"2339",2
"2341",3
"2342",4
"2343",5
"2344",9
"2345",5
"2346",6
"2347",6
"2350",3
"2351",8
"2352",6
"2353",4
"2354",6
"2355",8
"2356",4
"2357",10
"2359",3
"2360",6
"2362",9
"2363",2
"2364",9
"2365",3
"2366",9
"2367",5
"2368",2
"2369",3
"2370",4
"2371",2
"2372",2
"2373",4
"2374",7
"2375",10
"2377",4
"2378",8
"2380",4
"2382",6
"2385",8
"2386",4
"2387",3
"2388",4
"2389",3
"2390",3
"2391",4
"2392",2
"2393",4
"2394",4
"2395",10
"2396",6
"2397",4
"2400",3
"2401",5
"2402",3
"2403",5
"2404",7
"2405",7
"2406",10
"2407",10
"2408",4
"2409",1
"2410",7
"2411",4
"2413",6
"2414",2
"2417",3
"2418",10
"2419",4
"2420",1
"2421",1
"2422",4
"2423",10
"2424",4
"2426",8
"2427",4
"2428",1
"2429",7
"2430",4
"2431",3
"2433",4
"2434",4
"2435",3
"2436",2
"2437",10
"2438",10
"2439",4
"2440",8
"2442",4
"2444",10
"2445",3
"2446",3
"2447",4
"2448",2
"2449",8
"2450",2
"2451",4
"2452",2
"2453",3
"2454",4
"2455",7
"2456",2
"2457",3
"2460",9
"2461",6
"2462",3
"2463",6
"2464",1
"2465",9
"2466",3
"2467",1
"2468",1
"2469",9
"2470",1
"2471",9
"2473",1
"2474",7
"2475",2
"2476",3
"2477",1
"2478",1
"2479",4
"2480",4
"2481",1
"2482",6
"2483",1
"2484",2
"2485",6
"2486",7
"2487",1
"2488",1
"2489",2
"2490",9
"2491",6
"2492",1
"2493",2
"2494",6
"2495",9
"2496",1
"2497",1
"2498",3
"2499",3
"2500",9
"2501",1
"2502",2
"2503",6
"2504",1
"2505",4
"2506",1
"2508",6
"2509",2
"2510",3
"2511",9
"2512",6
"2513",2
"2515",9
"2516",1
"2518",4
"2519",6
"2520",4
"2521",5
"2523",2
"2524",3
"2525",1
"2526",5
"2527",2
"2528",4
"2529",4
"2531",9
"2532",3
"2534",2
"2535",4
"2538",10
"2539",9
"2540",4
"2541",5
"2542",3
"2543",10
"2544",10
"2545",2
"2546",10
"2547",4
"2548",4
"2549",8
"2550",4
"2551",4
"2553",2
"2554",4
"2556",4
"2557",2
"2558",2
"2559",2
"2560",2
"2561",2
"2562",9
"2563",5
"2564",3
"2565",2
"2566",8
"2567",4
"2568",2
"2569",10
"2570",3
"2571",10
"2572",4
"2573",4
"2574",4
"2575",3
"2576",10
"2577",8
"2578",2
"2579",10
"2580",9
"2581",10
"2583",4
"2584",4
"2585",8
"2586",9
"2587",4
"2588",4
"2589",1
"2590",3
"2591",10
"2592",4
"2593",5
"2595",2
"2597",8
"2598",3
"2599",5
"2600",8
"2601",7
"2602",8
"2603",4
"2604",10
"2605",5
"2606",3
"2607",2
"2609",5
"2610",4
"2611",4
"2612",2
"2613",2
"2614",2
"2615",4
"2616",2
"2617",5
"2618",2
"2619",7
"2620",7
"2621",4
"2622",8
"2623",1
"2624",8
"2625",2
"2626",10
"2627",4
"2628",3
"2629",6
"2630",5
"2631",1
"2632",8
"2633",2
"2634",2
"2635",8
"2636",4
"2637",2
"2638",2
"2639",4
"2640",10
"2641",8
"2642",8
"2643",2
"2644",10
"2645",5
"2646",7
"2647",10
"2649",6
"2650",5
"2651",1
"2652",8
"2653",8
"2654",4
"2655",4
"2656",4
"2658",2
"2659",2
"2661",2
"2662",2
"2663",7
"2665",8
"2666",3
"2667",2
"2668",4
"2669",2
"2670",4
"2671",2
"2672",2
"2673",6
"2675",2
"2676",2
"2677",2
"2678",10
"2679",10
"2680",2
"2681",10
"2682",4
"2683",3
"2684",2
"2685",8
"2686",10
"2687",3
"2688",6
"2689",5
"2690",6
"2691",4
"2692",4
"2693",5
"2694",10
"2695",10
"2696",1
"2697",4
"2698",3
"2700",10
"2701",8
"2703",7
"2705",6
"2706",5
"2707",6
"2708",7
"2710",2
"2712",6
"2714",6
"2716",4
"2717",3
"2718",3
"2720",3
"2721",5
"2722",3
"2723",1
"2724",2
"2726",1
"2727",1
"2728",2
"2729",5
"2730",1
"2731",10
"2732",4
"2733",8
"2734",3
"2735",3
"2736",4
"2737",1
"2738",1
"2739",4
"2740",4
"2741",8
"2743",3
"2744",5
"2745",2
"2746",3
"2747",10
"2749",7
"2751",3
"2752",10
"2754",6
"2755",3
"2756",4
"2758",10
"2759",8
"2760",8
"2761",8
"2762",2
"2763",7
"2764",4
"2765",1
"2766",10
"2767",8
"2769",3
"2770",7
"2771",8
"2772",4
"2773",9
"2774",2
"2776",5
"2777",10
"2778",9
"2779",7
"2780",3
"2781",9
"2783",4
"2784",7
"2785",5
"2786",5
"2790",3
"2791",10
"2793",3
"2794",7
"2795",9
"2796",6
"2797",2
"2798",9
"2799",7
"2800",2
"2801",2
"2802",3
"2803",3
"2804",2
"2806",6
"2807",9
"2808",4
"2809",7
"2810",3
"2811",2
"2812",1
"2813",3
"2814",3
"2815",6
"2816",10
"2817",4
"2818",8
"2819",7
"2821",7
"2822",10
"2824",4
"2825",5
"2826",7
"2827",8
"2828",3
"2829",7
"2830",7
"2831",2
"2832",5
"2834",7
"2836",3
"2837",5
"2838",7
"2839",10
"2840",9
"2841",2
"2842",3
"2845",1
"2846",9
"2847",9
"2848",4
"2849",4
"2851",2
"2852",7
"2853",1
"2854",2
"2856",4
"2857",1
"2858",6
"2859",3
"2860",4
"2861",4
"2863",10
"2864",5
"2865",8
"2866",10
"2868",10
"2869",9
"2871",5
"2873",7
"2874",3
"2875",2
"2876",4
"2878",2
"2880",10
"2881",5
"2882",9
"2883",2
"2884",8
"2885",10
"2886",3
"2887",4
"2888",2
"2889",9
"2890",2
"2891",2
"2892",3
"2893",7
"2895",2
"2896",5
"2897",9
"2898",1
